Classe,Ano,Desmatamento,nova_coluna
1. Supressão de Vegetação Primária,1989,1722322,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1989,75044,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1990,1429644,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1990,78097,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1991,1428215,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1991,96160,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1992,1942688,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1992,215847,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1993,1695087,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1993,240085,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1994,2002380,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1994,270454,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1995,2505397,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1995,365382,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1996,2187407,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1996,304184,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1997,2223624,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1997,329670,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1998,2166991,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1998,356819,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,1999,2072017,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1999,324248,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2000,1875830,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2000,340622,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2001,2075627,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2001,375462,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2002,2312197,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2002,328373,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2003,3007438,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2003,378268,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2004,2750744,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2004,388004,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2005,2296961,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2005,341347,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2006,1768308,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2006,338625,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2007,1436204,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2007,347887,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2008,1369962,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2008,392496,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2009,876803,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2009,321849,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2010,773911,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2010,314305,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2011,815627,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2011,310687,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2012,745550,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2012,345480,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2013,890254,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2013,407682,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2014,826961,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2014,418581,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2015,999269,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2015,504074,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2016,1114227,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2016,543445,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2017,969772,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2017,439735,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2018,1027333,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2018,440847,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2019,1420687,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2019,484508,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2020,1271877,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2020,399702,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2021,1728839,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2021,397184,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2022,1880646,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2022,678902,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2023,1064902,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2023,447177,Depois da Terceira Lei
