Classe,Ano,Desmatamento,nova_coluna
1. Supressão de Vegetação Primária,1989,1021293,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1989,9037,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1990,760502,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1990,25224,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1991,726649,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1991,64341,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1992,684570,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1992,83746,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1993,564244,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1993,85906,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1994,581556,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1994,109392,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1995,598897,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1995,125998,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1996,541632,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1996,141780,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1997,435818,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1997,128218,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1998,497542,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1998,180649,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,1999,585885,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1999,223915,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2000,497634,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2000,214660,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2001,408426,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2001,180751,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2002,388113,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2002,183891,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2003,423476,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2003,198154,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2004,418227,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2004,229900,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2005,464187,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2005,233219,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2006,443966,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2006,236529,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2007,364813,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2007,207141,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2008,399465,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2008,253607,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2009,343720,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2009,232063,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2010,314645,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2010,234897,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2011,308843,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2011,235727,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2012,283141,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2012,241941,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2013,295081,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2013,242825,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2014,321879,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2014,283136,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2015,289386,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2015,273861,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2016,299496,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2016,272427,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2017,251224,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2017,248093,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2018,317764,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2018,328680,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2019,357602,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2019,341063,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2020,374589,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2020,331782,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2021,494701,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2021,368140,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2022,527205,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2022,389717,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2023,103216,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2023,49885,Depois da Terceira Lei
