Classe,Ano,Desmatamento,nova_coluna
1. Supressão de Vegetação Primária,1989,2048457,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1989,13787,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1990,1895342,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1990,59393,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1991,1816058,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1991,147554,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1992,1810765,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1992,220996,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1993,1634210,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1993,248852,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1994,1632701,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1994,283198,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1995,1639930,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1995,320506,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1996,1399263,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1996,320222,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1997,1250464,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1997,318378,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1998,1289368,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1998,341352,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,1999,1243923,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1999,379362,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2000,1259930,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2000,406646,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2001,1128890,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2001,365415,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2002,1124316,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2002,396429,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2003,1361251,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2003,441626,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2004,1430364,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2004,453545,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2005,1130766,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2005,379259,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2006,945929,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2006,364434,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2007,818713,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2007,361263,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2008,879666,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2008,372505,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2009,764446,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2009,356316,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2010,753907,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2010,369008,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2011,729227,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2011,403771,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2012,1023586,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2012,481145,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2013,1093123,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2013,508372,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2014,895029,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2014,453393,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2015,856732,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2015,425480,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2016,706706,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2016,406996,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2017,675141,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2017,384589,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2018,650488,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2018,384404,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2019,880202,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2019,425043,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2020,1003325,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2020,461701,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2021,809691,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2021,507486,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2022,937230,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2022,589052,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2023,1028377,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2023,264811,Depois da Terceira Lei
