Classe,Ano,Desmatamento,nova_coluna
1. Supressão de Vegetação Primária,1989,648998,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1989,7017,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1990,542314,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1990,12869,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1991,543505,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1991,25351,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1992,425613,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1992,37694,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1993,406794,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1993,53668,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1994,395685,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1994,60382,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1995,382347,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1995,77886,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1996,361417,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1996,88357,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1997,374426,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1997,101364,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1998,290345,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1998,98473,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,1999,347071,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1999,126486,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2000,321935,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2000,123950,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2001,249731,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2001,110244,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2002,238310,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2002,113477,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2003,280791,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2003,124133,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2004,238513,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2004,117750,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2005,232516,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2005,116062,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2006,221601,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2006,107274,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2007,187202,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2007,108753,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2008,192089,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2008,118592,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2009,195285,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2009,117218,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2010,185258,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2010,130157,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2011,168289,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2011,127668,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2012,169071,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2012,137878,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2013,190553,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2013,160864,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2014,152306,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2014,139657,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2015,156480,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2015,149067,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2016,127502,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2016,128776,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2017,118742,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2017,127936,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2018,126458,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2018,140100,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2019,160710,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2019,143736,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2020,127567,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2020,134793,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2021,157837,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2021,168662,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2022,133833,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2022,153744,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2023,117269,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2023,108515,Depois da Terceira Lei
