Classe,Ano,Desmatamento,nova_coluna
1. Supressão de Vegetação Primária,1989,42047,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1989,2614,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1990,52561,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1990,2749,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1991,55498,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1991,2453,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1992,64138,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1992,4402,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1993,55149,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1993,6428,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1994,64796,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1994,5417,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1995,81040,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1995,4759,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1996,89958,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1996,5995,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1997,57404,Entre a Primeira e a Segunda Lei
2. Supressão de Vegetação Secundária,1997,2466,Entre a Primeira e a Segunda Lei
1. Supressão de Vegetação Primária,1998,60008,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1998,3350,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,1999,48503,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,1999,2734,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2000,49822,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2000,3509,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2001,43515,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2001,2407,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2002,46166,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2002,3455,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2003,57392,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2003,7226,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2004,54440,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2004,7550,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2005,42523,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2005,8278,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2006,45448,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2006,12172,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2007,30602,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2007,10485,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2008,38176,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2008,13842,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2009,46598,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2009,18450,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2010,33239,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2010,16015,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2011,37841,Entre a Segunda e a Terceira Lei
2. Supressão de Vegetação Secundária,2011,19299,Entre a Segunda e a Terceira Lei
1. Supressão de Vegetação Primária,2012,36011,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2012,15243,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2013,33751,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2013,15900,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2014,30777,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2014,14789,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2015,25051,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2015,13780,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2016,37252,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2016,14164,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2017,31004,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2017,16750,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2018,39133,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2018,20971,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2019,39070,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2019,17455,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2020,56946,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2020,19750,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2021,74466,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2021,22346,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2022,61409,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2022,20357,Depois da Terceira Lei
1. Supressão de Vegetação Primária,2023,108589,Depois da Terceira Lei
2. Supressão de Vegetação Secundária,2023,22358,Depois da Terceira Lei
